,#DEPTH,DIP,AZIM,QUAL,DEVI,HAZI,AAZI,ADIP,DIPTYPE
165,1941.86,1.3,63.3,1.0,32.6,300.6,302.6,31.9,BED
166,1941.95,85.2,58.5,1.0,32.5,300.4,52.1,71.2,HEALEDFRACTURE
167,1942.24,53.4,27.7,1.0,32.5,300.5,6.7,61.2,HEALEDFRACTURE
168,1942.39,2.6,69.9,1.0,32.6,300.6,304.4,31.0,BED
169,1942.84,1.6,133.6,1.0,32.5,299.8,299.1,31.0,BED
170,1943.24,0.9,18.5,1.0,32.6,300.2,301.8,32.8,BED
171,1943.58,4.8,271.7,1.0,32.6,300.3,296.4,36.9,BED
172,1944.12,2.6,46.3,1.0,32.5,299.7,304.4,31.9,BED
173,1944.43,2.7,100.6,1.0,32.6,299.2,300.9,30.1,BED
174,1944.82,2.6,29.9,1.0,32.7,299.5,304.4,32.7,BED
175,1945.28,0.7,23.2,1.0,32.7,300.4,301.8,32.8,BED
176,1945.68,4.2,233.5,1.0,32.6,300.7,293.8,34.5,BED
177,1945.97,2.4,165.1,1.0,32.6,300.5,297.3,31.0,BED
178,1946.36,2.7,102.3,1.0,32.7,300.1,301.8,30.1,BED
179,1946.57,3.3,63.9,1.0,32.7,300.0,305.3,31.0,BED
180,1946.69,57.6,290.5,1.0,32.7,300.0,292.0,90.0,DRILL.IND.FRAC.
181,1946.92,0.4,228.0,1.0,32.6,299.9,299.1,32.8,BED
182,1947.25,2.3,187.1,1.0,32.7,299.6,295.6,31.9,BED
183,1947.58,4.5,127.4,1.0,32.7,299.5,298.2,28.2,BED
184,1947.82,1.7,131.8,1.0,32.7,299.0,298.2,31.0,BED
185,1948.12,6.1,59.4,1.0,32.7,299.2,309.7,30.1,BED
186,1948.47,4.6,67.9,1.0,32.8,299.8,307.1,30.1,BED
187,1948.75,5.1,76.7,1.0,32.7,299.9,307.1,29.2,BED
188,1948.98,2.8,104.0,1.0,32.8,300.2,301.8,30.1,BED
189,1949.28,86.0,57.6,1.0,32.7,300.1,51.7,72.1,HEALEDFRACTURE
190,1949.35,2.9,209.6,1.0,32.7,300.1,294.7,32.8,BED
191,1949.58,2.3,160.3,1.0,32.8,300.3,297.3,31.0,BED
192,1949.85,3.3,338.3,1.0,32.7,300.0,303.5,35.3,BED
193,1950.17,6.1,157.9,1.0,32.8,300.0,292.0,28.2,BED
194,1950.59,3.7,160.8,1.0,32.8,299.6,294.7,30.1,BED
195,1950.97,1.4,31.7,1.0,32.8,299.1,301.8,32.8,BED
196,1951.12,3.6,124.4,1.0,32.7,298.9,298.2,29.2,BED
197,1951.45,3.7,113.2,1.0,32.8,299.2,300.0,29.1,BED
198,1951.94,2.8,165.8,1.0,32.8,299.4,295.6,31.0,BED
199,1952.45,3.2,150.3,1.0,32.8,299.7,296.4,30.1,BED
200,1953.02,3.2,302.6,1.0,32.9,299.7,300.0,36.1,BED
201,1953.61,3.5,347.4,1.0,32.9,300.0,304.4,35.3,BED
202,1953.88,3.8,63.2,1.0,32.9,300.0,306.2,30.9,BED
203,1954.34,4.7,182.0,1.0,32.9,300.1,292.0,31.0,BED
204,1954.74,4.8,247.5,1.0,33.0,300.3,293.8,36.1,BED
205,1955.18,1.9,10.6,1.0,32.9,300.2,303.5,33.6,BED
206,1955.74,2.4,58.3,1.0,32.9,300.4,304.4,31.9,BED
207,1956.33,7.4,51.8,1.0,33.0,300.6,314.1,31.0,BED
208,1956.6,1.4,3.2,1.0,33.0,300.4,302.6,33.6,BED
209,1956.78,2.0,62.9,1.0,32.9,300.3,303.5,31.9,BED
210,1957.11,57.7,287.5,1.0,33.0,300.3,289.5,90.0,DRILL.IND.FRAC.
211,1957.22,90.0,238.2,0.5,33.0,300.4,54.3,75.3,HEALEDFRACTURE
212,1957.27,3.4,92.2,1.0,33.0,300.4,303.5,30.1,BED
213,1957.62,4.1,142.1,1.0,33.0,300.4,297.3,29.2,BED
214,1958.11,1.2,109.6,1.0,33.0,300.4,300.9,31.8,BED
215,1958.49,4.9,71.5,1.0,33.1,300.6,307.9,30.1,BED
216,1958.84,1.8,226.7,1.0,33.1,300.5,297.3,33.6,BED
217,1959.3,2.8,218.1,1.0,33.1,300.6,295.6,33.6,BED
218,1959.8,1.7,15.5,1.0,33.1,300.6,303.5,33.5,BED
219,1960.07,2.6,178.1,1.0,33.1,300.6,296.4,31.8,BED
220,1960.37,1.8,255.8,1.0,33.1,300.5,298.2,34.4,BED
221,1960.65,1.8,253.0,1.0,33.1,300.6,298.2,34.4,BED
222,1960.8,2.2,319.7,1.0,33.1,300.5,301.8,35.2,BED
223,1961.08,2.3,330.6,1.0,33.1,300.6,302.6,35.2,BED
224,1961.32,3.7,199.9,1.0,33.2,300.6,293.8,32.7,BED
225,1961.71,4.3,350.8,1.0,33.1,300.5,306.2,36.0,BED
226,1961.96,4.7,232.8,1.0,33.1,300.5,292.9,35.2,BED
227,1962.28,3.6,41.8,1.0,33.2,300.6,307.1,32.7,BED
228,1962.72,1.7,345.9,1.0,33.2,300.5,302.6,34.4,BED
229,1962.98,0.8,231.9,1.0,33.2,300.5,299.1,33.5,BED
230,1963.2,4.3,234.6,1.0,33.3,300.6,293.8,35.2,BED
231,1963.53,3.1,42.5,1.0,33.2,300.5,306.2,32.7,BED
232,1963.96,8.3,41.6,1.0,33.3,300.6,315.9,32.6,BED
233,1964.21,0.9,170.9,1.0,33.2,300.4,299.1,32.7,BED
234,1964.69,2.0,1.0,1.0,33.3,300.5,303.5,34.3,BED
235,1965.01,2.9,11.3,1.0,33.2,300.3,305.3,34.3,BED
236,1965.24,3.2,45.5,1.0,33.3,300.4,306.2,32.6,BED
237,1965.65,1.8,186.3,1.0,33.4,300.4,297.3,32.6,BED
238,1965.89,4.4,53.2,1.0,33.3,300.3,307.9,31.8,BED
239,1966.05,1.2,263.2,1.0,33.4,300.4,299.1,34.4,BED
240,1966.29,3.1,61.5,1.0,33.3,300.2,305.3,31.8,BED
241,1966.6,0.9,19.2,1.0,33.3,300.1,301.8,33.5,BED
242,1966.99,2.0,153.5,1.0,33.4,300.3,298.2,31.8,BED
243,1967.27,8.2,75.4,1.0,33.4,300.1,312.4,28.1,BED
244,1967.49,3.4,120.3,1.0,33.4,300.0,300.0,30.0,BED
245,1967.7,3.4,45.5,1.0,33.4,300.2,306.2,32.7,BED
246,1968.16,0.8,132.5,1.0,33.4,300.3,300.0,32.7,BED
247,1968.49,57.7,283.9,1.0,33.4,300.4,286.5,90.0,DRILL.IND.FRAC.
248,1968.75,1.1,78.3,1.0,33.5,300.4,301.8,32.7,BED
249,1968.98,2.4,254.1,1.0,33.5,300.4,297.3,35.2,BED
250,1969.36,2.3,159.5,1.0,33.5,300.1,297.3,31.8,BED
251,1969.68,3.8,7.8,1.0,33.6,300.1,306.2,35.2,BED
