PSEUDO_DEPTH,TEMP       ,CALI       ,GR         ,ILD        ,NPHI       ,RHOB       ,DT         ,TVD        ,TVDSS      ,VCL        ,PHIE       ,PHIT       ,SW         ,EF,PERFOS     ,RES_ID,WELL_ID,X,Y,HACKANAME
2139.91,89.45,10.34,64.11,1.3459,0.2505,2.2701,122.64,1651.42,1629.42,0.4815,0.124,0.2709,0.9104,5,0,3005,210075859,15,20,B03
2140.06,89.46,10.17,60.18,1.4329,0.2445,2.253,124.94,1651.57,1629.57,0.3996,0.1518,0.2738,0.8138,2,0,3005,210075859,15,20,B03
2140.21,89.46,9.88,58.34,1.5219,0.2299,2.2411,124.06,1651.72,1629.72,0.3612,0.163,0.2733,0.7642,2,0,3005,210075859,15,20,B03
2140.36,89.47,9.78,59.25,1.6233,0.2225,2.2427,121.86,1651.86,1629.86,0.3801,0.1549,0.2709,0.7512,2,0,3005,210075859,15,20,B03
2140.52,89.47,9.83,61.07,1.7291,0.2324,2.2669,123.12,1652.01,1630.01,0.4181,0.1368,0.2644,0.76,5,0,3005,210075859,15,20,B03
2140.67,89.48,9.91,62.58,1.7992,0.2414,2.2915,120.29,1652.16,1630.16,0.4497,0.1199,0.2572,0.7778,5,0,3005,210075859,15,20,B03
2140.82,89.48,10.02,63.81,1.8215,0.2409,2.304,117.86,1652.3,1630.3,0.4752,0.1074,0.2524,0.797,5,0,3005,210075859,15,20,B03
2140.97,89.49,10.13,64.69,1.8004,0.2517,2.2917,116.18,1652.45,1630.45,0.4935,0.111,0.2616,0.776,5,0,3005,210075859,15,20,B03
2141.13,89.49,10.23,63.95,1.78,0.2541,2.2753,116.42,1652.6,1630.6,0.4782,0.1223,0.2682,0.7546,5,0,3005,210075859,15,20,B03
2141.28,89.5,10.28,63,1.8029,0.2478,2.278,116.74,1652.74,1630.74,0.4584,0.1249,0.2648,0.7524,5,0,3005,210075859,15,20,B03
2141.43,89.5,10.21,61.13,1.8447,0.2303,2.2709,120.16,1652.89,1630.89,0.4195,0.1339,0.2619,0.7362,5,0,3005,210075859,15,20,B03
2141.58,89.51,9.96,58.55,1.8631,0.215,2.2687,121.42,1653.04,1631.04,0.3655,0.145,0.2566,0.7276,2,0,3005,210075859,15,20,B03
2141.74,89.51,9.72,56.21,1.8374,0.1978,2.2725,125.26,1653.18,1631.18,0.3169,0.1512,0.2479,0.7423,2,0,3005,210075859,15,20,B03
2141.89,89.52,9.66,54.56,1.788,0.1791,2.2694,125.44,1653.33,1631.33,0.2824,0.1466,0.2328,0.7953,2,0,3005,210075859,15,20,B03
2142.04,89.53,9.68,53.31,1.7313,0.1751,2.249,124.49,1653.47,1631.47,0.2565,0.1495,0.2278,0.8165,2,0,3005,210075859,15,20,B03
2142.19,89.53,9.73,53.05,1.6711,0.1808,2.2449,122.3,1653.62,1631.62,0.251,0.1594,0.236,0.7961,2,0,3005,210075859,15,20,B03
2142.35,89.54,9.79,54.04,1.5935,0.1893,2.2499,121.08,1653.77,1631.77,0.2716,0.1705,0.2533,0.7639,2,0,3005,210075859,15,20,B03
2142.5,89.54,9.83,55.25,1.4886,0.2021,2.2725,117.54,1653.91,1631.91,0.2969,0.1587,0.2493,0.8276,2,0,3005,210075859,15,20,B03
