PSEUDO_DEPTH;TEMP       ;CALI       ;GR         ;ILD        ;NPHI       ;RHOB       ;DT         ;TVD        ;TVDSS      ;VCL        ;PHIE       ;PHIT       ;SW         ;EF;PERFOS     ;RES_ID;WELL_ID;X;Y;HACKANAME
2397.31;95.63;12.6329;32.26;0.6999;0.2635;2.1391;121.32;1749.31;1722.11;0.0283;0.3038;0.3104;0.5271;1;0;2900;790429659;6;4;B0700
2397.46;95.63;12.6331;32.68;0.7047;0.2674;2.1424;121.26;1749.36;1722.16;0.0335;0.3025;0.3103;0.5269;1;0;2900;790429659;6;4;B0700
2397.62;95.63;12.6038;33.1;0.7057;0.2777;2.1389;121.7;1749.42;1722.22;0.0387;0.3058;0.3148;0.5202;1;0;2900;790429659;6;4;B0700
2397.77;95.64;12.562;33.59;0.7024;0.2905;2.1269;122.37;1749.48;1722.28;0.0449;0.3131;0.3236;0.5086;1;0;2900;790429659;6;4;B0700
2397.92;95.64;12.6121;34.29;0.7009;0.2991;2.1134;122.99;1749.53;1722.33;0.0536;0.3192;0.3318;0.4985;1;0;2900;790429659;6;4;B0700
2398.07;95.64;12.7533;34.88;0.7031;0.3028;2.1073;123.35;1749.59;1722.39;0.061;0.3212;0.3354;0.4939;1;0;2900;790429659;6;4;B0700
2398.23;95.64;12.8858;34.52;0.7048;0.3051;2.1079;123.4;1749.65;1722.45;0.0565;0.3226;0.3358;0.4917;1;0;2900;790429659;6;4;B0700
2398.38;95.65;12.9554;34.36;0.7041;0.3057;2.1099;123.34;1749.7;1722.5;0.0546;0.3223;0.3351;0.4925;1;0;2900;790429659;6;4;B0700
2398.53;95.65;12.9338;33.71;0.7021;0.3005;2.109;123.53;1749.76;1722.56;0.0463;0.323;0.3338;0.4931;1;0;2900;790429659;6;4;B0700
2398.68;95.65;12.7923;33.7;0.6995;0.291;2.1091;124.1;1749.82;1722.62;0.0463;0.3202;0.331;0.4983;1;0;2900;790429659;6;4;B0700
2398.83;95.65;12.6559;33.96;0.6978;0.2838;2.1129;124.68;1749.88;1722.68;0.0495;0.3159;0.3275;0.5052;1;0;2900;790429659;6;4;B0700
2398.99;95.66;12.6114;34.29;0.699;0.2822;2.1186;124.68;1749.93;1722.73;0.0536;0.3122;0.3248;0.5102;1;0;2900;790429659;6;4;B0700
2399.14;95.66;12.6405;34.31;0.7022;0.2843;2.1249;124.05;1749.99;1722.79;0.0539;0.3102;0.3228;0.5123;1;0;2900;790429659;6;4;B0700
2399.29;95.66;12.6519;33.37;0.7069;0.2822;2.1311;123.18;1750.05;1722.85;0.0421;0.3095;0.3194;0.513;1;0;2900;790429659;6;4;B0700
2399.44;95.66;12.6266;32.08;0.7138;0.2757;2.1347;122.49;1750.1;1722.9;0.0261;0.3096;0.3157;0.5123;1;0;2900;790429659;6;4;B0700
2399.6;95.66;12.6005;31.77;0.718;0.2658;2.1328;122.35;1750.16;1722.96;0.0222;0.3082;0.3134;0.5135;1;0;2900;790429659;6;4;B0700
2399.75;95.67;12.6123;31.79;0.7185;0.2594;2.1277;122.58;1750.22;1723.02;0.0138;0.3102;0.3134;0.5111;1;0;2900;790429659;6;4;B0700
2399.9;95.67;12.5967;31.12;0.7186;0.2623;2.1246;122.87;1750.27;1723.07;0.0141;0.3123;0.3155;0.5077;1;0;2900;790429659;6;4;B0700
2400.05;95.67;12.582;30.86;0.7198;0.2741;2.1259;123.06;1750.33;1723.13;0.0107;0.3159;0.3184;0.5018;1;0;2900;790429659;6;4;B0700
2400.21;95.67;12.654;31.4;0.723;0.2818;2.1289;123.22;1750.39;1723.19;0.0175;0.3156;0.3196;0.5005;1;0;2900;790429659;6;4;B0700
2400.36;95.68;12.7079;32.67;0.7263;0.2806;2.131;123.46;1750.45;1723.25;0.0334;0.3109;0.3187;0.5049;1;0;2900;790429659;6;4;B0700
2400.51;95.68;12.6767;33.57;0.7297;0.2761;2.1291;124.02;1750.5;1723.3;0.0446;0.308;0.3184;0.5071;1;0;2900;790429659;6;4;B0700
2400.66;95.68;12.6138;34.13;0.7333;0.2795;2.123;124.85;1750.56;1723.36;0.0516;0.3099;0.322;0.5018;1;0;2900;790429659;6;4;B0700
2400.82;95.68;12.5672;33.38;0.7373;0.285;2.1159;125.35;1750.62;1723.42;0.0423;0.3164;0.3263;0.4914;1;0;2900;790429659;6;4;B0700
2400.97;95.69;12.608;32.24;0.7438;0.2865;2.1108;125.37;1750.67;1723.47;0.028;0.3219;0.3285;0.4825;1;0;2900;790429659;6;4;B0700
2401.12;95.69;12.7147;31.7;0.7499;0.2816;2.1069;125.34;1750.73;1723.53;0.0212;0.3235;0.3284;0.4789;1;0;2900;790429659;6;4;B0700
